country_code,in_strength_post,in_strength_pre,out_strength_post,out_strength_pre,total_strength_post,total_strength_pre,betweenness_centrality_post,betweenness_centrality_pre,pagerank_centrality_post,pagerank_centrality_pre,eigenvector_centrality_post,eigenvector_centrality_pre,in_degree_post,in_degree_pre,out_degree_post,out_degree_pre,total_degree_post,total_degree_pre,in_strength_change,in_strength_pct_change,out_strength_change,out_strength_pct_change,total_strength_change,total_strength_pct_change,betweenness_centrality_change,betweenness_centrality_pct_change,pagerank_centrality_change,pagerank_centrality_pct_change,eigenvector_centrality_change,eigenvector_centrality_pct_change,in_degree_change,in_degree_pct_change,out_degree_change,out_degree_pct_change,total_degree_change,total_degree_pct_change
ARE,15941378458.374111,863661883.2,105591780898.38478,54161283145.556496,121533159356.7589,55024945029,0.15960122115921438,0.042540212,0.010349204,0.002666682,0.031486887962157505,0.001401904,119.77777777777777,77.5,161.88888888888889,130.25,281.6666666666667,207.75,15077716575.129612,1745.7892802316894,51430497752.828285,94.95804893434794,66508214327.95789,120.86920630842313,0.117061009,275.1773035703521,0.007682522,288.09292186632234,0.030084984242284042,2146.009302621691,42.27777777777777,54.55197132616486,31.638888888888886,24.290893580720834,73.91666666666669,35.579622944243894
CAN,31488994091.869114,24169394432.386375,34155365088.184998,21867923174.685875,65644359180.054115,46037317607.07225,0.017770277,0.013400661687503913,0.00865297,0.024064000626924976,0.23400541563365784,0.15918463646351028,109.33333333333333,94.375,158,147.125,267.3333333333333,241.5,7319599659.4827385,30.28458027758718,12287441913.499123,56.189340960018384,19607041572.981865,42.589452626948514,0.004369616,32.60746083692742,-0.015411031,-64.04184761,0.074820779,47.00251282560089,14.958333333333329,15.849889624724057,10.875,7.391673746813934,25.833333333333314,10.697032436162864
CHN,200788129938.8962,59819665953,28471456100.616657,10824368790,229259586039.51285,70644034744,0.1529939891438924,0.069705303,0.047673876,0.033403314,0.3905472349844399,0.049354796,113.88888888888889,91.75,198,164.125,311.8888888888889,255.875,140968463985.5412,235.65571913334117,17647087310.129658,163.03109817949667,158615551295.67084,224.52787679924705,0.083288686,119.48687164292073,0.014270561,42.72199213193229,0.3411924385706302,691.3055333263682,22.138888888888886,24.129579170451102,33.875,20.63975628332064,56.013888888888914,21.89111436790969
IND,119478959013.54845,41180041037,38724884957,9981805314.658875,158203843970.19943,51161846351.47387,0.3060677710461807,0.14742455357885356,0.025762773241166766,0.017072321,0.21382650604952544,0.028715651429437463,116.77777777777777,78.625,168.88888888888889,114.875,285.6666666666667,193.5,78298917976.73344,190.13802804794227,28743079641.992126,287.9547209739826,107041997618.72556,209.22231164873097,0.15864321746732715,107.60976622694878,0.008690452,50.903750617330815,0.18511085462008797,644.6340076071688,38.15277777777777,48.524995583819106,54.013888888888886,47.01970741143755,92.16666666666669,47.63135228251508
JPN,103886554495.21645,99351459711.06412,8305369824.248666,4521037096.467751,112191924319.46512,103872496807.53188,0.010958186392329622,0.039015818,0.021657956642154523,0.037222383142901876,0.2844471466326844,0.094496272,84.44444444444444,82.625,162.66666666666666,147.75,247.11111111111111,230.375,4535094784.1523285,4.5646986942530905,3784332727.7809153,83.70496961278162,8319427511.933243,8.009268832103393,-0.028057632,-71.91347788,-0.015564427,-41.81469639,0.189950875,201.01414694043132,1.8194444444444429,2.202050764834424,14.916666666666657,10.095882684715166,16.736111111111114,7.264725387351542
KOR,118572837006.94566,63801460285.79325,39722819685.80188,14622424287.632751,158295656692.74753,78423884573,0.1525521781192748,0.092542225,0.026604034482280967,0.027946617,0.2744261487958677,0.043390746,112.66666666666667,88,176.44444444444446,130.25,289.1111111111111,218.25,54771376721.15241,85.84658796,25100395398.16913,171.65686690816625,79871772119.32153,101.8462328839882,0.060009953616488435,64.84602454599694,-0.001342583,-4.804098235,0.23103540289065044,532.4531719,24.66666666666667,28.030303030303035,46.19444444444446,35.46598421838346,70.86111111111109,32.46786305205548
MEX,18116234207.369003,11754078973.30875,34844975614.84033,14584618649.200624,52961209822.20933,26338697622.509377,0.014707521693068912,0.09960858,0.005902596,0.028543096,0.17993861877667822,0.16862744638749733,57.77777777777778,66.875,85.44444444444444,87.875,143.22222222222223,154.75,6362155234.060253,54.12721191092456,20260356965.63971,138.91591856431685,26622512199.69995,101.07755736923008,-0.084901058,-85.23468385,-0.0226405,-79.32040652,0.011311172,6.707788460004541,-9.097222222,-13.60332295,-2.430555556,-2.765923819,-11.52777778,-7.449290971
RUS,1579984108.160889,1557166619,177849654121.11343,132150073356.92488,179429638229.27432,133707239976.34314,0.042256593596603914,0.09633456,0.003715254,0.002112057,0.003727106,0.002482416,68.33333333333333,70,138.33333333333334,115.75,206.66666666666666,185.75,22817488.742638826,1.465320952690556,45699580764.18855,34.581578052369515,45722398252.93118,34.19590312463324,-0.054077967,-56.13558262,0.001603197,75.90688870198952,0.00124469,50.14027356831715,-1.666666667,-2.380952381,22.583333333333343,19.51043916486682,20.916666666666657,11.260655002243153
SAU,7289362390.835667,392052884.3,117331536809.83722,123360977746.99475,124620899200.67291,123753030631.32137,0.062505501,0.024115484,0.004171263,0.00197131,0.009776754,0.00058952,75.88888888888889,55,93.11111111111111,90.875,169,145.875,6897309506.509042,1759.280388500545,-6029440937,-4.88764036,867868569.3515472,0.7012907602538287,0.038390017,159.19239901407377,0.002199953,111.59854989153386,0.009187234,1558.4261923943252,20.888888888888886,37.97979797979797,2.2361111111111143,2.460644964083757,23.125,15.85261353898886
USA,133719093314.80064,149197771206.6955,210582970192.0157,28197131078.826122,344302063506.81635,177394902285.5216,0.5492664266125449,0.45286056962170723,0.040453476,0.095794763,0.35881804494116476,0.32944622867746043,130.22222222222223,128.25,191.77777777777777,185.875,322,314.125,-15478677892,-10.37460397,182385839113.18958,646.8240992437252,166907161221.29474,94.08791293937715,0.096405857,21.2881985,-0.055341287,-57.77068091,0.029371816,8.915511457397917,1.9722222222222285,1.537795105046572,5.9027777777777715,3.1756706269147394,7.875,2.5069637883008355
